description,date,organisation,location,link
Python for QGIS, 7 June 2023, Astun Technology, Online, https://www.astuntechnology.com/training
PostGIS Essentials, 14 June 2023, Astun Technology, Online, https://www.astuntechnology.com/training
SQL for Postgres/PostGIS, 15 June 2023, Astun Technology, Online, https://www.astuntechnology.com/training
Introduction to GIS Geospatial Data and Spatial Analysis, 10-14 July 2023, Nick Bearman & Essex Summer School, Hybrid, https://essexsummerschool.com/summer-school-facts/courses/ess-2023-course-list/1p-introduction-to-gis-geospatial-data-and-spatial-analysis/
QGIS Advanced, 26 July 2023, Astun Technology, Online, https://www.astuntechnology.com/training
GeoServer Advanced, 2 August 2023, Astun Technology, Online, https://www.astuntechnology.com/training
Python Essentials, 6 September 2023, Astun Technology, Online, https://www.astuntechnology.com/training
SQL for Postgres/PostGIS, 13 September 2023, Astun Technology, Online, https://www.astuntechnology.com/training
QGIS Esentials, 26-27 September 2023, Astun Technology, Online, https://www.astuntechnology.com/training
PostGIS DBA Essentials, 18 October 2023, Astun Technology, Online, https://www.astuntechnology.com/training
Python for QGIS, 1 November 2023, Astun Technology, Online, https://www.astuntechnology.com/training



